Yeast Gene,Arabidopsis thaliana,Neocallimastix frontalis,Glomus intraradices,Schizosaccharomyces pombe,Saccharomyces cerevisiae,Yarrowia lipolytica,Neurospora crassa,Ustilago maydis,Candida albicans,Schistosoma mansoni,Caenorhabditis elegans,Aedes aegypti,Drosophila melanogaster,Strongylocentrotus purpuratus,Ciona intestinalis,Danio rerio,Xenopus laevis,Gallus gallus,Macaca mulatta,Pan troglodytes,Homo sapiens,Canis lupus familiaris,Oryctolagus cuniculus,Mus musculus,Rattus norvegicus,
Q06665,,,,,,,,,,,,,,,,,,,,,,,,,,
P38138,,,,"Q9US55","P38138","Q6CFI8","Q8NIY3","Q705V7",,,,,,,,,,,,,,,,,,
P36165,,,,,,,,,,,,,,,,,,,,,,,,,,
P40168,,,,,,,,,,,,,,,,,,,,,,,,,,
Q04364,,,,,"Q04364;Q6B2L0",,,,,,,,,,,,,,,,,,,,,
P22007,"Q8LPK8;Q38920",,,"O13782","Q6B1V9;P22007","Q6C928","Q7S2F7","Q4P690","Q59LE1;Q59LD0",,"Q19752","Q17BQ8","Q9VEV7",,,"Q6IQG3","Q66IS7",,,,"B4E1A0;P49356;B2RDX6;B4DL54;Q86TX8",,,"Q8K2I1","Q02293",
Q03799,,,,"O74956","Q03799",,"Q7SHF3",,,,,,,,,,,,,,,,,,,
Q8TGT4,,,,,,,,,,,,,,,,,,,,,,,,,,
P01123,,,,"P11620","P01123","Q6C9V1","P33723","Q4P7T0","Q5AI00",,,,,,,,,,,,,,,,,
P53343,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12745,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12016,,,,"O43073","Q12016","Q6C8B9","Q9HE90","Q4P606","Q59SB3;Q59S82",,,,,,,,,,,,,,,,,
P38627,"Q9SY26",,,"O42644","P38627;P28274",,"Q7RZV2",,,,,,"Q9VUL1",,,,,,,,,,,,,
Q12465,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12532,"Q9LTX7",,,"Q9USN8","Q12532","Q6C1U6","Q870T4",,"O94068",,,"Q171H5",,,,,,,,,"O60524",,,"Q8CCP0",,
Q07844,"Q9SS94",,,"O14325","Q07844","Q6C0V7","Q8X056","Q4PF17","Q5AGG2",,"Q9U8K0","Q0C7B7","Q9VS62;Q7KU82;P91638",,,"Q803I9","Q7ZXI4",,,,"O15381",,,"Q9DBY8",,
P47033,,,,,"P36110;P47032;P47033",,"Q7SG93",,"Q9HFZ2",,,,,,,,,,,,,,,,,
P26449,,,,,"P26449","Q6C136","Q7SEI1","Q4P761","Q59QR8",,,,,,,,,,,,,,,,,
P47146,,,,,,,,,,,,,,,,,,,,,,,,,,
P26637,"Q9LPN1;O04485",,,"Q10490","P26637","Q6C4Q2","P10857","Q4P455","Q9HGT2",,"Q09996","Q0IF77","Q8MRF8;Q9VQR8",,,,"Q6AX83",,,,"Q9NPU8;Q9P2J5",,,"Q7TSZ3;Q8BMJ2;Q6ZPT2","Q5PPJ6",
P28743,,,,"Q1MTQ1","P28743",,"Q7SDI4",,"Q59XV9;Q59Y04;O94053;Q6SYY6",,,,,,,,,,,,,,,,,
P32445,"O82772;Q9M1D1",,,"O14087","P32445",,,,,,,,,,,,,,,,,,,,,
Q12230,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12286,,,,,,,,,,,,,,,,,,,,,,,,,,
Q03433,,,,,"Q03433",,,,,,,,,,,,,,,,,,,,,
P53323,"Q94K14",,,"Q9P7N1","P53323","Q6C2A3","Q872E3;A3RNH4",,"Q5AGC7",,,"Q176Z1","Q9VRJ6",,,"Q503Z2","Q4V7S0",,,,"Q96S44",,,"Q99PW4;Q543M9;Q5U452",,
P33775,,,,,"P33775",,,,,,,,,,,,,,,,,,,,,
Q99325,,,,,,,,,,,,,,,,,,,,,,,,,,
P25364,,,,"O43058","P25364","Q6CDD1","Q7SAT6",,"Q5APB2",,,,,,,,,,,,,,,,,
P00812,,,,"Q10066;P37818","P00812","Q6C6P6","P33280","Q4P4M4","Q5AK86;Q5AKP9","Q6WVP6",,"Q17HI3","O76895;Q9NHA5",,,"Q7T151","Q7ZYM1;P30759",,,,"P05089",,"Q95KM0","Q61176","P07824",
P36126,,,,,"P36126",,,,"Q59TX2;O74136;Q59TT3",,"Q9U2U6",,,,,,,,,,,,,,,
Q03957,,,,,"Q03957",,,,,,,,"Q95SE1",,,,,,,,,,,,,
Q07660,,,,,"Q07660","Q6BZU0",,,,,,,,,,,,,,,,,,,,
P53315,,,,,"P53315",,,,,,,,,,,,,,,,,,,,,
Q12010,,,,,"Q12010;P38279",,,,"Q5A4G4",,,,,,,,,,,,,,,,,
Q3E764,,,,,,,,,,,,,,,,,,,,,,,,,,
P48164,,,,,"P48164;Q45TZ8",,,,,,,,,,,,,,,,,,,,,
P38187,,,,,"P38187;P39967",,,,,,,,,,,,,,,,,,,,,
Q03002,,,,,,,,,,,,,,,,,,,,,,,,,,
P47159,,,,,,,,,,,,,,,,,,,,,,,,,,
Q07949,"Q9FK73",,,,"Q07949",,,,,,,,,,,,,,,,,,,,,
P07262,,,,,"P07262","Q6C1A9","P00369",,"Q59KP4",,,,,,,,,,,,,,,,,
P38893,,,,,"P53757;P38893","Q6CCG5","Q7S2S1",,,,,,,,,,,,,,,,,,,
P36017,,,,,"P36017","Q6C9Z5","Q7RWE8","Q4PG58","Q59X89",,,,,,,,,,,,,,,,,
Q01454,,,,"Q9C107","Q01454",,"Q9P549",,"Q5AAR5;Q5AB02",,,,,,,,,,,,,,,,,
P21560,,,,,,,,,,,,,,,,,,,,,,,,,,
P06106,,,,"O13326","P06106",,"Q9P3D4",,"Q9UR58;Q9UVM2",,,,,,,,,,,,,,,,,
P39988,,,,,"P39988",,,,,,,,"Q8IGX3;Q9VSW3",,,,,,,,"O00764",,,,"O35331",
P34241,,,,,"P34241","Q6CFH7",,,,,,,,,,,,,,,,,,,,
P53874,,,,,"P53874",,,"Q4PG60","Q59PG8",,,,,,,,,,,,,,,,,
P39969,,,,"O74653","P39969;P38041",,"Q7S7I3;Q8X0U9;Q7S041",,"Q5A898",,"Q21004",,,,,,,,,,,,,,,
P20424,"P37107",,,"P21565","P20424","Q99150","Q872L2","Q4PB16","O42816;Q5A885",,,,,,,,,,,,,,,,,
P30777,,,,,"P30777",,"Q7RX94",,,,,,,,,,,,,,,,,,,
P28319,,,,,,,,,,,,,,,,,,,,,,,,,,
Q06216,,,,,"Q66R48;Q06216",,,,,,,,,,,,,,,,,,,,,
P25573,,,,,"P25573",,,,,,,,,,,,,,,,,,,,,
P53165,,,,,,,,,,,,,,,,,,,,,,,,,,
P36523,,,,,"P36523",,,,"Q59M32;Q59PD0",,,,,,,,,,,,,,,,,
P19262,"Q3E9W2;Q8LGI7;Q8H107;Q9FLQ4;Q9ZRQ1",,,"O94681","P19262","Q6C5L8","Q7S3Y3","Q4PEE6","Q9P829",,"O45148",,"Q9VGQ1",,,"Q6NZW7;Q7ZVL3","Q7ZXF6","Q5F326",,,"P36957;Q6IBS5;Q7LDY7",,,"Q9D2G2","Q01205",
P53012,,,,,,,,,,,,,,,,,,,,,,,,,,
P25617,,,,,"P25617",,,,,,,,,,,,,,,,,,,,,
Q04410,,,,,,,,,,,,,,,,,,,,,,,,,,
P23644,,,,,,,,,,,,,,,,,,,,,,,,,,
P32467,,,,,"P32467;P39004;P39003",,,,,,,,,,,,,,,,,,,,,
P53176,,,,,,,,,,,,,,,,,,,,,,,,,,
P38873,,,,,"P38873",,,,"Q5A2C3",,,,,,,,,,,,,,,,,
Q06005,"Q9SXP7",,,"O36017","Q06005","Q6C069",,"Q4P0Q0","Q5AI42",,"Q9BI33;Q7JM18","Q0IEK7","Q9VN27",,,"Q29R99",,,,,,,,"Q9D009",,
P39547,,,,,,,,,,,,,,,,,,,,,,,,,,
P25441,,,,,,,,,,,,,,,,,,,,,,,,,,
P32578,,,,,"P32578",,,,,,,,,,,,,,,,,,,,,
Q04301,,,,,"Q04301",,,,,,,,,,,,,,,,,,,,,
P50861,,,,"Q9UUB1","P50861","Q6CH62","Q7RVJ3","Q4P9Z1",,,,,,,,,,,,,,,,,,
Q03306,,,,,,,,,,,,,,,,,,,,,,,,,,
Q04377,,,,,"Q04377",,,,,,,,,,,,,,,,,,,,,
P50095,,,,"P78758;O14344","P50094;P50095;P39567;P38697",,"Q7SFX7",,"Q9P8J2;O00086",,,,,,,,,,,,,,,,,
P39729,"Q9SVA6",,,"Q9UT21","P39729","Q6CIA1","Q7RYS1","Q4PA56","Q5A779",,"Q9TVG4","Q179N3","P32234",,,"Q6XMI5;Q7T340","Q6GNX3;P43690",,,,,,,"P32233;Q8BNS0;Q8CHR8",,
P18888,,,,,,,,,,,,,,,,,,,,,,,,,,
P23797,"Q6NLZ3;Q6DBN0;Q3EBT2;Q0WWG5",,,"Q9HDW9","P23797","Q6C513","Q7S1Q5",,"Q5AP60",,,,,,,,,,,,,,,,,
P53962,"Q944S2",,,,"P53962","Q6C5B8",,,,,,,,,,,,,,,,,,,,
P38523,,,,"O43047","P38523","Q6CBI2","Q9P5U4",,"Q5A9E1",,,,,,,,,,,,,,,,,
Q06010,,,,"O14077","Q06010","Q6C0F8","Q7RWU6",,"Q5ABY9;C4YSL4",,,,,,,,,,,,,,,,,
Q3E835,,,,,"Q3E835",,"Q9C2B3",,,,,,,,,,,,,,,,,"Q60675",,
P0C1Z1,,,,,,,,,,,,,,,,,,,,,,,,,,
P28627,,,,"O74800","Q6Q570;P28627","Q6C066",,,,,,,,,,,,,,,,,,,,
P14741,"Q8W4G0;Q9S832;Q9C9D3",,,"Q9USP0","P14741","Q6CBJ8","Q7RX32","Q4P9P2","Q59S48",,"P34604",,"Q9GQ89;Q9VAD4",,,"Q6IQQ8","Q6NUG3",,,,"Q14232",,,"Q3UZR8","Q64270",
Q8J0M4,,,,,,,,,,,,,,,,,,,,,,,,,,
Q03071,,,,,"Q03071",,"Q8X0M3",,,,,,,,,,,,,,,,,,,
P25608,,,,,,,,,,,,,,,,,,,,,,,,,,
Q04430,,,,,"Q04430",,,,,,,,,,,,,,,,,,,,,
Q08995,,,,,,,,,,,,,,,,,,,,,,,,,,
P09624,,,,"O00087","P09624","Q6C8C6","Q7S477",,"Q59RQ6",,"O17953",,"Q9VVL7",,,"Q803L1",,,,,"P09622",,,"O08749",,
P25362,,,,,"P25362",,,,"Q5A3X9",,,,,,,,,,,,,,,,,
Q12021,,,,,,,,,,,,,,,,,,,,,,,,,,
P40348,,,,"Q09843","P40348;Q6Q5N0","Q6C6B9","Q6MUX7;Q7SH42","Q4PI47",,,,,,,,,,,,,,,,,,
Q03508,,,,,"Q03508",,,,,,,,,,,,,,,,,,,,,
P38203,"Q8L5U6;Q1H595",,,"O94408","P38203","Q6C2F0","Q7S2I0",,"Q5A6P0",,"P92022","Q17LD2","Q9VTW6",,,"Q5RKP8",,,,,"Q9Y333",,,"Q9ES84;O35901;Q9EP83","Q6MG66",
P40060,,,,,"P40060",,,,,,,,,,,,,,,,,,,,,
P40362,,,,,,,,,,,,,,,,,,,,,,,,,,
P17536,,,,,"P17536",,,,,,,,,,,,,,,,,,,,,
Q04110,,,,,,,,,,,,,,,,,,,,,,,,,,
P08640,,,,,,,,,,,,,,,,,,,,,,,,,,
Q08955,,,,,,,,,,,,,,,,,,,,,,,,,,
P40319,,,,,"P40319",,,,,,,,,,,,,,,,,,,,,
P10622,,,,,"P10622","Q6CEU7",,,"Q5A0A6;Q9HFQ6",,,,,,,,,,,,,,,,,
Q02785,,,,,"Q02785",,,,,,,,,,,,,,,,,,,,,
Q06200,,,,,,,,,,,,,,,,,,,,,,,,,,
P43609,,,,,"P43609",,,,,,,,,,,,,,,,,,,,,
P32656,,,,"P87305","P32656","Q6C0B8",,,"Q59KR9;Q59JQ9",,,,,,,,,,,,,,,,,
P47182,,,,,,,,,,,,,,,,,,,,,,,,,,
Q05937,,,,,,,,,,,,,,,,,,,,,,,,,,
P39010,"Q05753",,,,"Q12013;P39010",,,,,,,,,,,,,,,,,,,,,
P21651,,,,,,,,,,,,,,,,,,,,,,,,,,
Q06389,,,,"Q09711","Q06389","Q6C5U1","Q7RZ93","Q4PH93","Q5APN9",,,,"Q9VW66",,,,,,,,,,,,,
Q02256,"Q9M8K7;Q9LUG6;Q8LDW2",,,"O13632","Q02256","Q6CEZ6","Q7S4J2",,,,"Q9XXK8",,"Q9VWF4",,,"Q4QRE0",,,,,"Q9UNI6",,,"Q4KL39;Q9D0T2","Q9JIM4",
Q2V2P0,,,,,,,,,,,,,,,,,,,,,,,,,,
P38332,,,,,"P38332","Q6C766","Q7S4P6",,"Q5A2L4",,,,,,,,,,,,,,,,,
Q99321,,,,"Q09790","Q99321","Q6CHV1",,,,,,,,,,,,,,,,,,,,
Q01766,,,,,,,,,,,,,,,,,,,,,,,,,,
P15180,"Q9ZPI1",,,"Q9UUE6","P15180","Q6C1H2","Q870N5","Q4P442","Q5ADU2",,"Q22099","Q16FM7","Q8SXM8",,,"Q6DRH3",,"Q5ZKP8",,,"Q15046",,,"Q8C292;Q99MN1;Q8C1V4;Q3TIV6",,
Q03823,,,,,"Q03823",,,,,,,,,,,,,,,,,,,,,
P05375,,,,"O74827","P05375","Q6C649","Q7S5W9","Q4P2D8",,,,,,,,"Q7ZVZ2","Q66KT1","Q5ZJB1",,,"Q9UBM1;Q9BW86;Q6IAQ5;Q86VL3;Q71UY0",,,"Q8R0I1;Q61907;Q7TNW6;Q5SVF4","Q08388",
Q3E829,,,,,,,,,,,,,,,,,,,,,,,,,,
P00546,,,,"P04551","P00546","Q6CF29","Q7RVB3","Q6X268","Q59V96;P43063",,,,,,,,,,,,,,,,,
P53121,,,,,,,,,,,,,,,,,,,,,,,,,,
P42847,,,,"O13882","P42847","Q6C5Y2",,,"Q59W36;Q59W75",,,,,,,,,,,,,,,,,
P32803,,,,"Q9P7I9","P32803","Q6C3H2","Q7SGS3","Q4PBF3","Q59V63",,,,,,,,,,,,,,,,,
P10963,,,,,"Q66R53;P10963","Q6CBN4","Q7RVS9","Q4P433","O13434;Q5AAH5",,,,,,,,,,,,,,,,,
Q04673,"Q0WLZ8;Q9ZVN9",,,"O74995","Q04673;Q6B237","Q6C7M6",,,"Q5ALX0",,"P34567",,"Q9VNP8",,,"Q7ZVV4",,,,,"Q13888",,,,,
O14455,"Q9LZ57;Q9M352;O80929",,,"Q92365;O94658","O14455;P05745",,"Q7SEP1",,"P47834",,,,,,,,,,,,,,,,,
P39678,,,,"P41412;P33520","P39678;Q6Q7H3;Q6Q7H2;Q6Q7H1;Q6Q7H7;Q6Q7H6","Q6CGF5","Q7RW59",,"Q5ANP5",,"O17055",,,,,,,,,,"Q96KQ7",,,,,
Q06598,,,,,"Q06598",,,"Q4PDF1","Q5A0X4",,,,,,,,,,,,,,,,,
P48558,,,,"O74888","P48558","Q6CFN9",,"Q4PFQ0",,,,,,,,,,,,,,,,"Q9DA39",,
Q02803,,,,,,,,,,,,,,,,,,,,,,,,,,
P32630,,,,,,,,,,,,,,,,,,,,,,,,,,
Q05024,,,,,"Q05024",,,,,,,,,,,,,,,,,,,,,
Q04214,,,,,,,,,,,,,,,,,,,,,,,,,,
Q06344,,,,,,,,,,,,,,,,,,,,,,,,,,
P06778,,,,"O42905;P36592","P06778","Q6C357","Q9HGI2",,"Q59NG2",,,,,,,,,,,,,,,,,
Q6Q546,,,,,"Q6Q546",,,,,,,,,,,,,,,,,,,,,
P38231,,,,,"P38231",,,,,,,,,,,,,,,,,,,,,
P43124,,,,,"P43124",,"Q7SHZ5",,,,,,,,,,,,,,,,,,,
P53312,,"P53587",,"O94415","P53312","Q6CA97","Q9P567","Q4PHP5",,,"P53588",,"Q9VHJ8;Q95U38",,,,,,,,"Q7Z503;Q9Y4T0;Q6N0B1;Q9P2R7",,,,,
P38811,"O65645",,,"Q10064;Q9HFE8","P38811","Q6CDB3","Q9HEI9;Q7S7K6",,,,"Q5CZ43;Q6A4L2;Q18667","Q16KK9","Q0E9P6;Q8I8U7;Q2EZ47",,,,,,,,"Q59FH1;Q9Y4A5",,,,,
P20081,,,,"O42993","P20081","Q6CF41",,"Q4P790","P28870",,,,,,,,"Q8AVL7",,,,"Q0VDC6",,,,,
P38913,,,,"O74841","P38913",,"Q7SCU7","Q4P7E8",,,,,,,,,,,,,,,,,,
P21826,,,,,"P30952;P21826",,,,"Q5APD2",,,,,,,,,,,,,,,,,
Q12495,,,,,,,,,,,,,,,,,,,,,,,,,,
P21147,,,,"O94523","P21147;Q6B1S0",,"Q7S8C6",,,,,,,,,,,,,,,,,,,
P38146,,,,,,,,,,,,,,,,,,,,,,,,,,
P32476,,,,"Q9C1W3","P32476","Q6C5R8","Q7S8B3","Q4PBW5","Q59QB2",,,,,,,"Q1LVA1",,,,,"Q14534;Q9UNR6;Q5HYI4",,,"Q3TQK8;Q3TSS7","P52020",
Q12127,,,,,,,,,,,,,,,,,,,,,,,,,,
P32874,,,,,,,,,,,,,,,,,,,,,,,,,,
P40054,,,,"P87228","P40510;P40054;A0SXJ4","Q6C284","Q7RWH3;Q871M4","Q4PF80","Q5A3K7",,,,,,,,,,,,,,,,,
P32477,,,,"Q09768","P32477","Q6C433",,"Q4P7A9",,,"Q20117",,"Q9W3K5",,,"Q7ZW37;Q6NV35","Q6DJP0",,,,"P48506",,,"Q3TEF1;P97494",,
P32838,,,,"Q10298","Q6Q5J8;P32838","Q6CHS8","Q9C1L7;Q1K8E8","Q4P3X0","Q5A6B6;Q5A6J5",,,,,,,,,,,,,,,,,
P38925,,,,,"P38925","Q6CD22",,,"Q59Z30;Q5AMW2;Q5AMF6",,,,,,,,,,,,,,,,,
Q08118,,,,,,,,,,,,,,,,,,,,,,,,,,
P38794,,,,,"P38794",,,,,,,,,,,,,,,,,,,,,
P34246,,,,,,,,,,,,,,,,,,,,,,,,,,
P14904,,,,,"P14904",,,,,,,,,,,,,,,,,,,,,
Q06568,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12464,"Q9M2X5;Q9FJW0",,,"O94692","Q12464","Q6C3X6","Q873C7","Q4P6N7","Q3MPG1;Q5AGZ9",,"Q9GZH2",,,,,,,,,,,,,,,
P0C074,,,,"Q9P7R6","P0C074","Q6CGS7","Q7SFN1","Q4PGL5",,,,,,,,,,,,,,,,,,
Q06580,,,,,"Q06580",,,,,,,,,,,,,,,,,,,,,
Q06390,,,,,"Q06390",,,,,,,,,,,,,,,,,,,"Q8BVC6",,
Q12520,,,,"Q8WZJ9","Q12520","Q6C4X5","A7UWQ9","Q4P9R2","Q5ADN8",,,,,,,,,,,,,,,,,
Q07349,,,,,,,,,,,,,,,,,,,,,,,,,,
P40989,,,,"O74475;Q10287;Q9P377;O13967","P40989;P38631","Q6C549;Q9UVK9",,"Q4PE24","Q5AIC4;O13428",,,,,,,,,,,,,,,,,
P24088,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6Q5P6,,,,,"P47023;Q6Q5P6",,,,,,,,,,,,,,,,,,,,,
P36068,,,,,"P36068",,,,,,,,,,,,,,,,,,,,,
P53223,"Q6NLA5",,,,"P53223","Q6C8B5","Q9C2M6",,"Q59VX6",,,"Q17E84",,,,"Q5XJT5","A6H8J5",,,,"Q86YN1",,,"A2AWJ4;A2AWJ3;Q9JMF7",,
P07279,,,,"Q10192;Q8TFH1","P07279","Q6CFA4","Q7RXJ4","Q4PEY9","Q5ANC2",,,,,,,,,,,,,,,,,
P46959,"Q9LYK0;Q84K50",,,"O14307","P46959","Q6C0P9","Q8NJ10;Q7S7Q5","Q4PG69","Q5A416",,"Q9XTE1;O62365","Q16ZN4","Q9VBH7",,,"Q6DI31","Q8AVK7",,,,"Q96FX7",,,"Q80XC2","Q6AY46",
P38962,,,,"Q9Y7K7","P38962","Q6C7V5",,,"Q5APA2",,"Q18449;A0FLQ7",,,,,,,,,,,,,,,
P33767,,,,"O59866","P33767",,"Q7SHY4",,"Q59WK3",,,,,,,,,,,,,,,,,
Q06821,,,,,,,,,,,,,,,,,,,,,,,,,,
P38774,,,,,"P38774;P38773",,,,"O93989",,,,,,,,,,,,,,,,,
P40018,,,,"Q10163","P40018",,,,,,,,,,,,,,,,,,,,,
P34223,,,,"Q9UT81","P34223;Q6Q5U0","Q6C5V3","Q8X0G7","Q4PAH1","Q5A9B7",,"Q9N2W5;Q86DD7",,"Q9W175",,,,,,,,,,,,,
P38849,,,,,"P38849",,,,"Q5AND1",,,,,,,,,,,,,,,,,
P38236,,,,,,,,,,,,,,,,,,,,,,,,,,
P38277,,,,,"P38277",,,,,,,,,,,,,,,,,,,,,
P32773,"Q93VP4;Q39235;Q9LNW7;O49349;Q9LNX1",,,"Q9USU9","P32773;Q6B157","Q6CCD2","Q7SG05","Q4P3Y0","Q5AFC5",,"O44625","Q173T9","P52654",,,,,,,,,,,,,
O13587,,,,,,,,,,,,,,,,,,,,,,,,,,
Q02784,,,,"Q9HDW8","Q02784","Q6C0W3","Q871I1","Q4PAJ6","Q59PW1",,"Q9XTU9","Q17M81","Q8SXQ5",,,"Q6PBM1","Q4FZP8;A5D8L5;Q6IRP1","Q5ZK23",,,"Q0X088;Q86SX6",,,"Q80Y14",,
P18239,,,,,"P18239",,,,,,,,,,,,,,,,,,,,,
P12687,,,,,"P12687","Q6C9C4",,,"Q5A092",,,,,,,,,,,,,,,,,
Q12391,,,,,"Q04706;O74302;Q12217;Q03964;Q12266;Q12162;O13528;Q04215;Q12391;Q12085;Q99209;P47099;Q12441;Q03856;Q92392;Q6Q5H1;P08405;Q12470;Q12231;Q12485;P47097",,,,,,,,,,,,,,,,,,,,,
Q12288,,,,"Q09686","Q12288",,"Q7SAC0",,"Q59T45",,,,,,,,,,,,,,,,,
Q02770,,,,,,,,,,,,,,,,,,,,,,,,,,
P25453,"Q39009",,,"O42634","P25453",,,,"P50265",,"O44246;Q95Q25",,,,,"Q24JX1;Q50LF4",,,,,"A8K9A2;Q8IYL1;Q14565",,,"Q61880;Q8C610;Q14AN8",,
P41821,,,,,"P41821",,,,"Q59MM2;Q59ML1",,,,,,,,,,,,,,,,,
P40442,,,,,,,,,,,,,,,,,,,,,,,,,,
P22289,"Q9LXJ2",,,"O74433","P22289","Q6CG23","Q7SGT7","Q4P191",,,,,"Q8SY81;Q9XY35",,,,,,,,"Q9UDW1",,,"Q8R1I1",,
P34222,"Q9M8U2;Q1H5E3;Q9LFL4;Q8LBQ1",,,"O13830","P34222","Q6C4E6","Q9P5S6","Q4PDF3","Q5A9C1",,,"Q177N9","O97067",,,"Q504C6",,,,,"Q9Y3E5",,,"Q5SXR0","Q5XI86",
P22139,,,,"O13877","P22139",,"Q7SG15","Q4P3X6",,,,,,,,,,,,,,,,,,
P38754,"Q9T043;Q9SIM4",,,,"P38754;P36105",,,"Q4PGA1",,,"Q9XVE9",,,,,,"Q6NTR4","Q98TF9",,,"A0PJ62","Q9XSV0",,,,
P32572,,,,,,,,,,,,,,,,,,,,,,,,,,
P39984,,,,,"P39984","Q6CI64",,,"Q59RH5",,,,,,,,,,,,,,,,,
Q08232,,,,,,,,,,,,,,,,,,,,,,,,,,
P53191,,,,"Q9Y7M3","P53191;Q6B212","Q6CI43","Q7S2Z5",,"Q5ALU7;Q5AM96",,,,,,,,,,,,,,,,,
Q08960,,,,,,,,,,,,,,,,,,,,,,,,,,
P25087,,,,"O14321","P25087","Q6C2D9","Q7SG63","Q4P9N1","O74198;Q5AJG1",,,,,,,,,,,,,,,,,
P53378,,,,,"P53378",,,,,,,,,,,,,,,,,,,,,
P38181,,,,,"P38181",,,,,,,,,,,,,,,,,,,,,
Q12168,,,,,,,,,,,,,,,,,,,,,,,,,,
Q02932,,,,"O94545","Q02932","Q6CG75","Q7SEZ4","Q4PED2","Q5A0B8",,,"Q17DX6","Q7K0Q2",,,,"Q6NTP9",,,,"Q9UI26",,,"Q8K2V6",,
P48231,,,,"O14065;Q9UT00","Q12466;P48231","Q6C3Y8",,"Q4P4Z6",,,,,,,,,,,,,,,,,,
Q2V2Q0,,,,,,,,,,,,,,,,,,,,,,,,,,
P38204,,,,,"P38204",,,,,,,,,,,,,,,,,,,,,
Q12196,"Q9FHT0;Q3E8M0;Q9SK34;Q8L9X8;Q67YW7;Q8W4A1",,,"O42650","Q12196","Q6CB28","Q872V9","Q4P2D7","Q59WI0",,"O44959","Q16NT9","Q9VTL5",,,"Q7ZV65","Q5HZ82",,,,"Q5W0K5;Q9BRS2",,,"Q922Q2","Q6AY66",
P53584,,,,,"P53584","Q6C1B0",,,"Q5APK8",,,,,,,,,,,,,,,,,
P33332,,,,,"P33332",,,,,,,,,,,,,,,,"Q5T9A4",,,,,
Q12194,,,,,"Q12194",,,,"Q59SD3",,,,,,,,,,,,,,,,,
Q08054,,,,,,,,,,,,,,,,,,,,,,,,,,
Q07799,,,,,,,,,,,,,,,,,,,,,,,,,,
Q06698,,,,"O94536","Q06698","Q6CDA6","Q8X0V7",,"Q5ADM3",,,"Q16JX7",,,,,,,,,,,,"Q6P5D3",,
P47079,,,,"P78921","P47079","Q6C9H3","Q7S1Y6","Q4P662","Q5AB74;P47828",,,,,,,,,,,,,,,,,
P12685,,,,,"P12685",,,,,,,,,,,,,,,,,,,,,
P25299,"Q8LKG6",,,"O43040;Q9P6P7","P25299","Q6C6I9",,,,,"O45577",,"Q86NL1;Q9VE52",,,"Q7ZUX2","Q7ZYT8",,,,"Q9H0L4",,,,,
P24088,,,,,,,,,,,,,,,,,,,,,,,,,,
P43549,,,,"Q9P7T9","P43549",,,,,,,,,,,,,,,,,,,,,
P43556,,,,"Q09697","P43556",,,,,,,,,,,,,,,,,,,,,
P38349,,,,,"P47049;P38349",,"Q7SER3",,,,,,,,,,,,,,,,,,,
Q12514,,,,,,,,,,,,,,,,,,,,,,,,,,
P53622,"Q94A40;Q9SJT9",,,"Q96WV5","P53622","Q6C5A1","Q7S028","Q4P6U0","Q5AJP8;Q5AJB9",,"Q9N4H7",,"O77285;Q9W0B8",,,"Q6JWU9","Q6DJD1","Q5F354",,,"P53621",,,"Q63ZW9;Q8CIE6;Q8BTF0",,
P16387,,,,,"P16387","Q6C0Y7","Q7RYJ2","Q4P7Q9",,,,,,,,,,,,,,,,,,
P43546,,,,,"P43546;Q08361",,,,,,,,,,,,,,,,,,,,,
P33755,,,,"Q9P780","P33755","Q6C619","Q7SH49",,"Q5AA50",,,"Q177R9","Q8IMS6;Q9VBP9",,,"Q7ZVI8","Q63ZR4;Q7SZT9",,,,"Q8TAT6",,,"Q3UE06;P60670;Q3UDU9","Q9ES54",
Q06328,,,,,"Q06328",,,,"Q59SR9",,,,,,,,,,,,,,,,,
P38883,,,,,"P38883",,,,"Q59RA0",,,,,,,,,,,,,,,,,
P52870,,,,,"P52870",,,,,,,,,,,,,,,,,,,,,
P53045,,,,,"Q6Q5Q1;P53045",,,,,,,,,,,,,,,,,,,,,
P39962,,,,,"P39962",,,"Q4PHY9",,,,,,,,,,,,,,,,,,
P27680,,,,,"P27680",,"Q7S214",,"Q5A4P2;O93995",,"O18235",,,,,,"Q6GMZ4",,,,,,,"Q3UQM8;Q3TLJ6",,
P37293,,,,,,,,,,,,,,,,,,,,,,,,,,
P38751,,,,,,,,,,,,,,,,,,,,,,,,,,
P28006,,,,,"P28006",,,,,,,,,,,,,,,,,,,,,
P39958,,,,"Q10305","P39958","Q6C3M2","Q7S909","Q4PGK7",,,,,,,,,,,,,,,,,,
P40090,,,,,"P40090",,,,,,,,,,,,,,,,,,,,,
Q04964,,,,,,,,,,,,,,,,,,,,,,,,,,
P53855,,,,,"P53855","Q6C6M0",,,,,,,,,,,,,,,,,,,,
