E. coli K12 gene,"Pseudomonas aeruginosa","Pseudomonas fluorescens","Salmonella typhimurium","Yersinia pestis","Vibrio cholerae","Vibrio fischeri ES114","Vibrio fischeri MJ11","Haemophilus influenzae","Rickettsia prowazekii","Helicobacter pylori","Staphylococcus aureus","Bacillus subtilis","Bacillus anthracis","Streptococcus pneumoniae","Deinococcus radiodurans","Chlamydia trachomatis","Chlamydophila pneumoniae","Aquifex aeolicus","Thermotoga maritima","Mycobacterium tuberculosis","Nocardia farcinica","Streptomyces coelicolor","Borrelia burgdorferi","Treponema pallidum","Mycoplasma genitalium","Mycoplasma pneumoniae","Sulfolobus solfataricus","Aeropyrum pernix","Halobacterium salinarum","Pyrococcus furiosus"""
COAE_ECOLI,"Q9HVP8",,"P63828","Q8ZBI0","AAD21033;Q9KPE3","Q5E2R2",,"P44920",,,,,,,,,,,,,,,,,,,,,,
COBC_ECOLI,,,"P39701",,,,,,,,,,,,,,,,,,,,,,,,,,,
COBS_ECOLI,"Q9I463",,"Q05602",,,,,,,,,,,,,,,,,"Q10397",,,,,,,"Q97TZ6",,"Q9HPL2","Q8U400"""
COBT_ECOLI,,,"Q05603",,"Q9KSL9",,,,,,,,,,"Q9RYR8",,,,,,,"Q9L1C8",,,,,,,,
CODA_ECOLI,"Q9I680",,"Q8ZLR0","Q8ZJE7",,,,,,,,,,,,,,,,,,,,,,,"Q97V65",,,
COF_ECOLI,,,"Q8ZRB6",,,,,,,,,,,,,,,,,,,,,,,,,,,
CPXR_ECOLI,,,"Q8ZKR6","Q8D1S9","Q9KNN9",,,"P44895",,,,,,,,,,,,,,,,,,,,,,
CRCA_ECOLI,,,"Q9ZHL7;Q8ZR06","Q0WG44;Q8D091",,,,,,,,,,,,,,,,,,,,,,,,,,
CRCB_ECOLI,"Q9HW19",,"P63866",,,,,"P46491",,,,,,,,,,,,,,,,,,,,,,
CREB_ECOLI,"Q9I655",,"Q8ZJU6","Q8ZHJ7",,,,,,,,,,,,,,,,,,,,,,,,,,
CREC_ECOLI,,,"Q8ZJU5","Q7CGT7",,,,,,,,,,,,,,,,,,,,,,,,,,
CRED_ECOLI,"Q9I653",,"Q8ZJU4","Q8CZW3",,,,,,,,,,,,,,,,,,,,,,,,,,
CRL_ECOLI,,,,,"Q9KPT7",,,,,,,,,,,,,,,,,,,,,,,,,
CRP_ECOLI,"P55222",,"79052","16120516","Q9KNW6;O34015",,,"P29281",,,,,,,,,,,,,,,,,,,,,,
CSDA_ECOLI,,,"Q8ZMC3","Q8CZY5","Q9KPQ7",,,,,,,,,,,,,,,,,,,,,,,,,
CSGA_ECOLI,,,"P0A1E5;O33802",,,,,,,,,,,,,,,,,,,,,,,,,,,
CSGC_ECOLI,,,"P0A1Z8",,,,,,,,,,,,,,,,,,,,,,,,,,,
CSGD_ECOLI,,,"O54294",,,,,,,,,,,,,,,,,,,,,,,,,,,
CSID_ECOLI,,,"Q9FA43",,,,,,,,,,,,,,,,,,,,,,,,,,,
CSIE_ECOLI,,,,"Q8CLH7",,,,,,,,,,,,,,,,,,,,,,,,,,
CSTA_ECOLI,"Q9HVI3",,"Q8ZR28","Q0WET2",,,,,,"P56190",,,,,,,,,,,,,,,,,,,,
CUEO_ECOLI,,,"Q8ZRS2;AAL15149","Q8ZBK0",,,,,,,,,,,,,,"O67206",,,,,,,,,,,,
CUER_ECOLI,,,"Q93CH6","Q8ZCA8",,"Q5E6R9",,,,,,,,,,,,,,,,,,,,,,,,
CUSA_ECOLI,,,"Q9ZHC9",,,,,,,,,,,,,,,,,,,,,,,,,,,
CUSB_ECOLI,,,"Q9ZHD0",,,,,,,,,,,,,,,,,,,,,,,,,,,
CUSC_ECOLI,,,"Q9ZHD2",,,,,,,,,,,,,,,,,,,,,,,,,,,
CUSS_ECOLI,,,"Q9ZHD4",,,,,,,,,,,,,,,,,,,,,,,,,,,
CUTA_ECOLI,,,,"Q74XD3",,,,,,,,,,,"Q9RS33",,"Q9Z6Z9",,"Q9X0E6",,,,,,,,,,,"Q8U220"""
CUTC_ECOLI,,,"Q8ZNV0","Q8ZEV5",,,,,,,,,,,,,,,,,,,,,,,,,,
CVPA_ECOLI,"Q9HZB0;Q9FAY5",,,,"Q9KTA0","Q5E459",,"P45108","Q9ZEB2",,,,,,,,,,,,,,,,,,,,,
CVRA_ECOLI,"Q9HUE8",,"P65524",,"Q9KNM9",,,,,,,,,,,,,,,,,,,,,,,,,
CYAY_ECOLI,"Q9HTS5",,"P56978","P46356","Q9KVL8","Q5E1W5",,"P71358","Q9ZDK5",,,,,,,,,,,,,,,,,,,,,
CYNR_ECOLI,"Q9I261",,,,,,,,,,,,"Q81QI6",,,,,,,,,,,,,,,,,
CYNS_ECOLI,"Q9I263",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYNT_ECOLI,"Q9I262",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYNX_ECOLI,"Q9I0Y2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYOC_ECOLI,,,"Q8ZRC3","Q8ZC56",,,,,,,,,,,,,,,,,,,,,,,,,,
CYSA_ECOLI,,,"P40860","Q8D0W8","Q9KUI0",,,,,,,,,,,,,,,,,,,,,,,,,
CYSD_ECOLI,"O50273",,,"Q8ZBP1","Q9KP19","Q5E831",,,,,,,,,,,,,,,,,,,,,,,,
CYSH_ECOLI,,,"P17853",,"Q9KUX2","Q5E839",,,,,,,,,,,,,,,,,,,,,,,,
CYSI_ECOLI,,,"P17845;AAA27047","Q8ZBN7","Q9KUX3","Q5E840",,,,,,"O32213",,,,,,,,,,,,,,,"Q97UT4",,,
CYSJ_ECOLI,,,"P38039","Q8ZBN6","Q9KUX4","Q5E841",,,,,,"O32214",,,,,,,,,,,,,,,,,,
CYSM_ECOLI,"Q9I526",,"P29848","16123190;NP_406503","Q9KUI4",,,,,,,,,,,,,"O67507",,"P63873",,"Q9S2H1",,,,,,,,
CYSN_ECOLI,,,"Q8ZMF5",,"Q9KP20","Q5E830",,,,,,,,,,,,,,,"Q5YZY0","Q9ADG6",,,,,,,,
CYSP_ECOLI,"Q9I3L9",,"P41031","Q8ZCH4;Q7CJH2","Q9KUI3",,,,,,,,,,,,,,,,,,,,,,,,,
CYSQ_ECOLI,"Q9HU14",,"P26264","16123675",,,,,,,,,,,,,,"O66669",,,,,,,,,,,,
CYSZ_ECOLI,"Q9I595",,"P12673",,"Q9KTD3","Q5E3K9",,"P45039",,,,,,,,,,,,,,"Q9RDP2",,,,,,,,
CYTR_ECOLI,,,,"16120455","Q9KNQ4",,,,,,,,,,,,,,,,,,,,,,,,,
DACA_ECOLI,,,"Q8ZR02",,,,,,,,,,,,,,,,,,,,,,,,,,,
DACB_ECOLI,,,"Q8ZLS6","Q7CKJ3","Q9KU91",,,"P45161",,,,,,,,,,,,,,,,,,,,,,
DACC_ECOLI,,,"Q8ZQL1","Q7CHG0",,,,,,,,,,,,,,,,,,,,,,,,,,
DACD_ECOLI,,,"2119797;P37604","16122814",,,,,,,,,,,,,,,,,,,,,,,,,,
DADA_ECOLI,,,"Q8ZP17","Q8ZEL7",,,,,,,,,,,,,,,,,,,,,,,,,,
DAMX_ECOLI,,,"Q8ZLK3",,,,,,,,,,,,,,,,,,,,,,,,,,,
DAPA_ECOLI,"Q9I4W3",,"Q8ZN71","Q8ZCD0","Q9KQ47","Q5E3I3",,"P43797",,,,,,,,,,,,,,,,,,,,,,
DAPB_ECOLI,"P38103","Q84CP9","Q8ZRX8","Q8ZIL6","Q9KPH7","Q5E7N0",,"P45153",,,,,,,,,,,,,,,,,,,,,,
DAPD_ECOLI,,,"Q8ZRP4","Q8ZH69",,,,"P45284","Q9ZDX0",,,,,,,,,,,,,,,,,,,,,
DAPE_ECOLI,"Q9I4H5",,"Q8ZN75","Q7CJI9","Q9KQ52","Q5E3I7",,"P44514","Q9ZC93",,,,,,,,,,,,,,,,,,,,,
DAPF_ECOLI,"Q51564","O05322","P0A1F2","P46357","Q9KVL6","Q5E1W7",,"P44859",,,,,,,,,,,,,,,,,,,,,,
DBPA_ECOLI,,,"Q8ZP87","22126413",,,,,,,,,,,,,,,,,,,,,,,,,,
DCDA_ECOLI,,,"Q8ZMA2","16121108",,,,,,,,,,"Q97NP2",,,,,,,,"Q9ZBH5",,,,,,,,
DCD_ECOLI,,,,"Q8ZFZ8",,,,"P44534",,,,,,,,,,"O67539",,,,"Q9X8W0",,,,,,,"Q9HSG3",
DCLZ_ECOLI,,,"Q8ZRN7",,,,,,,,,,,,,,,,,,,,,,,,,,,
DCOR_ECOLI,,,"Q8ZM37","Q7CGQ9",,,,,,,,,,,,,,,,,,,,,,,,,,
DCOS_ECOLI,,,"Q8ZQW6",,"Q9KKN9",,,"P44317",,,,,,,,,,,,,,,,,,,,,,
DCP_ECOLI,,,"P27236",,,,,,,,,,,,,,,,,,,,,,,,,,,
DCUP_ECOLI,,,"Q9L9I4","Q8ZAQ7","Q9KV26","Q5E249",,,,,,,,,,,,,,,,,,,,,,,,
DCYD_ECOLI,,,"Q8ZNT7","Q8ZF73",,,,,,,,,,,,,,,,,,,,,,,,,,
DDLB_ECOLI,"Q9LCT6",,"Q8ZRU1","Q8ZIE7",,,,"P44405",,,,,,,,,,,,,,,"O51218",,,,,,,
DEDA_ECOLI,,,,"Q8D0U2",,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_ECOLI,"Q9I7A8",,"Q8ZLM7","Q8ZJ79","Q9KVU3","Q5E1Q8",,"P44786",,,,,,,,,,,,,,,,,,,,,,
DEGP_ECOLI,,,"P26982",,,,,,,,,,,,,,,,,,,,,,,,,,,
DEGQ_ECOLI,,,"Q8ZLQ1","Q8ZB58;Q8D1R0",,,,,,,,,,,,,,,,,,,,,,,,,,
DEOC_ECOLI,,,"Q8ZJV8","Q8ZIQ4",,,,,,,,,,,,,,,,,,,,,,,,,,
DEOD_ECOLI,,,"Q8ZJV7","Q8ZIQ2","Q9KPM0","Q5E7J4","A9IPU6","P44417",,,,,,,,,,,,,,,,,,,,,,
DGOD_ECOLI,,,"Q8ZKZ1",,,,,,,,,,,,,,,,,,,"Q9RKG2",,,,,,,,
DGOK_ECOLI,,,"Q8ZKZ0",,,,,,,,,,,,,,,,,,,,,,,,,,,
DGTP_ECOLI,"Q9I4L1",,"P40733","Q8ZBM5",,,,,,,,,,,,,,,,,,,,,,,,,,
DHAK_ECOLI,,,,,,,,,,,,,,,,,,,,,,"Q9FC11",,,,,,,,
DHE4_ECOLI,"Q9Z3C4;Q9HVJ7",,"P15111","Q8CZK9;16124099",,,,"P43793",,,,,,"Q97QB4","Q9RTN9",,,,,,,,,,,,,,,
DHG_ECOLI,,,"Q8ZRS1",,,,,,,,,,,,,,,,,,,,,,,,,,,
DHNA_ECOLI,,,"Q8ZQ05","Q7CJ13;Q8ZFS1","Q9KQV8;Q30JU4;Q30JV5;Q30JV0","Q5E5Q8",,"P44856",,,,,,,,,,,,,,,,,,,,,,
DHPS_ECOLI,"Q9HV49",,"Q8ZLS8","16123647","Q9KU85",,,"P43776;Q93T09;Q93T08;Q93T07;Q93T06;Q93T10;Q933D8;Q934A2",,,,,,,,,,,,,,,,,,,,,,
DHSA_ECOLI,"Q9I3D5",,"Q8ZQU3","16121411","Q9KQB1",,,,,,,,,,,,,,,,,,,,,,,,,
DHSB_ECOLI,"Q9I3D4",,"Q8ZQU2","16121412","Q9KQB2","Q5E6M9",,,,,,,,,,,,,,,,,,,,,,,,
DIAA_ECOLI,,,,"Q8ZB74","Q9KUE2","Q5E2N8",,"P52606",,,,,,,,,,,,,,,,,,,,,,
DICA_ECOLI,,,"Q79A84",,,,,,,,,,,,,,,,,,,,,,,,,,,
DING_ECOLI,"Q9I4S9",,"Q8ZQN7",,"Q9KQZ2","Q5E642",,,,,,,,,,,,,,,,,,,,,,,,
DINJ_ECOLI,,,"Q8ZLI1","Q9RPP0",,,,,,,,,,,,,,,,,,,,,,,,,,
DJLA_ECOLI,,,,"Q74Q30","Q9KUR8","Q5E861",,"P44607",,,,,,,,,,,,,,,,,,,,,,
DJLC_ECOLI,,,"Q8ZQY7",,,,,,,,,,,,,,,,,,,,,,,,,,,
DKGA_ECOLI,,,,"Q8ZI40",,,,,,,,,,,,,,,,,,,,,,,,,,
DKGB_ECOLI,"Q9HWL4",,"Q8ZRM7","Q8ZH36",,,,,,,,,,,,,,,,,,,,,,,,,,
DLDH_ECOLI,,,"Q8ZRT0","16123566;Q7CKE4","Q9KPF6","Q5E2S3",,"P43784",,,,"P21880",,,"Q9RRW5",,,,,,,,,,,,,,,
DLD_ECOLI,,,"Q8ZNM7","Q7CH75",,,,"P45295",,,,,,,,,,,,,,,,,,,,,,
DLGD_ECOLI,,,"Q8ZL83",,,,,"P44995",,,,,,,,,,,,,,,,,,,,,,
DLHH_ECOLI,,,"Q9L6M9","Q8ZAL4",,,,,,,,,,,,,,,,,,,,,,,,,,
DMSA_ECOLI,,,"Q8ZQD3","16123478;Q9X6B6;NP_406791",,"Q5E1E4",,"P45004;AAB06233",,,,,,,,,,,,,,,,,,,,,,
DMSB_ECOLI,,,"Q8ZPJ8","Q9X6B5",,,,"P45003",,,,,,,,,,,,,,,,,,,,,,
DMSC_ECOLI,,,,"Q8D190",,,,,,,,,,,,,,,,,,,,,,,,,,
DNAA_ECOLI,"Q9I7C5",,"P35891","Q8Z9U7","Q9KVX6","Q5E8Z2",,"P43742",,,,,,,,,,,,,,,,,,,,,,
DNAB_ECOLI,,,"79069","16120657;Q7CKP2","Q9KUY7","Q5E850",,"P45256",,,,,,,,,,,,,,,,,,,,,,
DNAJ_ECOLI,"Q9HV44",,"P0A1G7","Q8ZIM6","O34242","Q5E3A8",,"P43735","Q9ZDY0",,"P45555","P17631","Q81LS3","P95830",,,,,,,,,,,,,,,,
DNAK_ECOLI,,,"Q56073","Q8ZIM7",,,,,,,,,,,,,,,,,,,,,,,,,,
DNLJ_ECOLI,"Q9I3I4",,"Q8ZN89","Q7CJF3;16123170","Q9KTD1",,,"P43813",,,,,"Q81ZG1",,,,"Q9Z934",,,,,,,,,,,,,
DPIA_ECOLI,,,"Q8ZR08",,,,,,,,,,,,,,,,,,,,,,,,,,,
DPIB_ECOLI,,,"Q8ZR09",,,,,,,,,,,,,,,,,,,,,,,,,,,
DPO1_ECOLI,"Q9HT80","AAG43102;Q9F193","Q9F173","16120370;Q74YC8","Q9KVN3","Q5E8S7",,"P43741","O05949",,,,,,"P52027","O84500","Q9Z7U2;Q7VPX4",,"Q9X1V4","Q10699;P0A550","Q5YYM0",,"O51498","P74933","Q49406","P75403",,,,
DPO2_ECOLI,"Q9I2L1","Q9F175","Q8ZRV7","Q7CGA1","Q9KSP4","Q5E4C3",,,,,,,,,,,,,,,,,,,,,,,,
DPO3A_ECOLI,"Q9HXZ1","Q9XDH6","P14567;AAA27191","Q7CH18","P52022","Q5E3F4",,"P43743",,,,"O34623",,,,,,"O67125",,,,,,,,,,,,
DPO3B_ECOLI,"Q9I7C4",,"P26464","NP_407518;16124205","Q9KVX5",,,"P43744",,,,,,,,,,,,,,,,,,,,,,
DPO3E_ECOLI,"Q9L7T4",,,"NP_404696","Q9KPX9","Q5E3G6",,"P43745","Q9ZCJ9",,,,,,,,,,,,,,,,,,,,,
DPO3X_ECOLI,"Q9I3I1",,"AAC97558;P74876","NP_406600;Q7CK10","Q9KT51","Q5E464",,"P43746","Q9ZCA1","O25419",,,,,,"O84338","Q9Z9E1;Q9JSK5",,,,"Q5Z365","Q9RKL5",,,,,,,,
DPO4_ECOLI,,,,"Q8ZBZ9",,,,,,,,,,,,,,,,,,,,,,,,,,
DPPA_ECOLI,,,"Q8ZLA9","16124128",,,,,,,,,,,,,,,,,,,,,,,,,,
DPPF_ECOLI,"Q9HVR5",,"Q8ZLB2","Q8CZL6;Q8ZA23",,,,"P45094",,,,,,,,,,,,,,,,,,,,,,
DSBC_ECOLI,,,"P55890",,"Q9KPF0","Q5E7Q2",,"P45111",,,,,,,,,,,,,,,,,,,,,,
DSBG_ECOLI,"Q9I106",,"Q8ZR22",,,,,,,,,,,,,,,,,,,,,,,,,,,
DSDX_ECOLI,,,"Q8ZL09",,,,,,,,,,,,,,,,,,,,,,,,,,,
DTD_ECOLI,"Q9HUA4",,"P58533","P58534","Q9KNJ7","Q5E8Q0",,"P44814",,,"P0A028","O32042","Q81LI3","Q97PH3","Q9RVY1",,,"O66742","Q9WZI9","P63995","Q5Z1P0","Q9K4F6",,,,,,,,
DUSA_ECOLI,"Q9I048",,"Q8ZKH4",,"Q9KUX9","Q5E844",,"P44794",,,,,,,,,,,,,,,,,,,,,,
DUSB_ECOLI,,,"P0A2R6","Q8ZAX7","Q9KV66","Q5E262","B5FC66","P44965",,,,,,,,,,,,,,,,,,,,,,
DUSC_ECOLI,,,"Q8ZNM4",,,,,"P44606",,,,,,,,,,,"Q9WXV1",,,,,,,,,,"Q9HPX3",
DUT_ECOLI,"Q9HTN3",,"P64008","Q8ZJP5",,,,"P43792",,,,,,,,,,,,,,,,,,,,,,
DXR_ECOLI,"Q9KGU6",,"Q8ZRP3","Q8ZH62","Q9KPV8","Q5E3E5",,"P44055",,,,,"Q81N10",,,,,,,,,,,,,,,,,
DXS_ECOLI,"Q9KGU7",,"Q8ZRD1","Q8ZC45","Q9KTL3","Q5E6Z0",,"P45205",,,,,,,,,,,,,,,,,,,,,,
DYR_ECOLI,,,"Q8ZRW1","16120816",,,,,,,,,,,,,,,,,,,,,,,,,,
EAMA_ECOLI,,,"Q56072",,,,,,,,,,,,,,,,,,,"Q9RDH1",,,,,,,,
ECOT_ECOLI,"Q9I088",,"Q8ZNH4",,,,,,,,,,,,,,,,,,,,,,,,,,,
ECPD_ECOLI,,,,"16121968;16123127;16121971",,,,,,,,,,,,,,,,,,,,,,,,,,
EFG_ECOLI,,,,"Q8ZJB3",,,,"P43925",,,,,,,,,,,,,,,,,,,,,,
EFTS_ECOLI,"O82851",,,"Q8ZH65","Q9KPV3",,,"P43894",,"P55975",,"P80700","Q81WK9",,,,,,"Q9X1U1","Q10788",,"O31213","O51148",,"P47246","P78009",,,,
ELAA_ECOLI,,,,,"Q9KP14","Q5E834",,,,,,,,,,,,,"Q9X244",,"Q5YSA8",,,,,,,,,
ELAB_ECOLI,,,"Q7CQ55","Q8D0S6",,,,,,,,,,,,,,,,,,,,,,,,,,
ELBB_ECOLI,"Q9HTU9",,"Q8ZLR6",,,,,,,,,,,,,,,,,,,,,,,,,,,
EMRA_ECOLI,,,"Q8ZMK9","Q8ZBW7;Q8D177",,,,"P44928",,,,,,,,,,,,,,,,,,,,,,
EMRB_ECOLI,,,"Q8ZMK8","Q7CK80",,,,"P44927",,,,,,,,,,,,,,,,,,,,,,
EMRD_ECOLI,,,"Q8ZL12",,"Q9KMV4","Q5E173",,,,,,,,,,,,,,,,,,,,,,,,
EMRE_ECOLI,"Q5YGN9",,,,,"Q5E7B7",,,,,,,,,,,,,,,,,,,,,,,,
END1_ECOLI,,,"Q8ZM53","Q7CGS1",,,,,,,,,,,,,,,,,,,,,,,,,,
END8_ECOLI,,,"Q8ZQU6",,,,,,,,,,,,,,,,,"P64156",,,,,,,,,,
ENGB_ECOLI,,,,,"Q9KVN0","Q5E8S6",,"P46453",,,,,,,,,,,,,,,,,,,,,,
ENGD_ECOLI,"Q9HVC2","Q93PX7","Q7CQE8","Q7CIA0","Q9KQ20",,,"P44681",,,,,,,,,,,,,,,,,,,,,,
ENO_ECOLI,"Q9HXZ5",,,"Q8ZBN2","Q9KPC5",,,"P43806",,,,,,,,,,,,,,,,,,,,,,
ENTA_ECOLI,,,"Q8ZR30",,"Q56632",,,,,,,,,,,,,,,,,,,,,,,,,
ENTB_ECOLI,,,"Q8ZR31",,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTC_ECOLI,,"P95475","Q8ZR33",,,,,,,,,"P45744","Q81QQ0",,,,,,,,,,,,,,,,,
ENTD_ECOLI,,,"Q56064",,"Q9KTV7;Q9RCF2",,,,,,,,,,,,,,,,,,,,,,,,,
ENTE_ECOLI,,,"Q8ZR32",,,,,,,,,,"Q81QP9",,,,,,,,"Q5Z276",,,,,,,,,
ENTF_ECOLI,,,"Q8ZR37",,,,,,,,,,,,,,,,,,,,,,,,,,,
ERA_ECOLI,"Q9XCX8",,"Q56057",,"Q9KPB3","Q5E315",,"P43728",,"P56059",,,,,,,,,,,,,"O51604","O83552",,,,,,
ERFK_ECOLI,,,"P40680",,,,,,,,,,,,,,,,,,,,,,,,,,,
ERPA_ECOLI,,,"Q7CR66","Q0WBQ9","Q9KU96","Q5E2W7",,"P45344",,,,,,,,,,,,,,,,,,,,,,
EUTA_ECOLI,,,"Q9ZFV2",,,,,,,,,,,,,,,,,,,,,,,,,,,
EUTC_ECOLI,,,"P19265",,,,,,,,,,,,,,,,,,,,,,,,,,,
EUTD_ECOLI,"Q9I6K5",,"P41790",,,,,,,,,,,,,,,,,,,,,,,,,,,
EUTH_ECOLI,,,"P41796",,,,,,,,,,,,,,,,,,,,,,,,,,,
EUTK_ECOLI,,,"Q9ZFU8",,,,,,,,,,,,,,,,,,,,,,,,,,,
EUTP_ECOLI,,,"P0A208",,,,,,,,,,,,,,,,,,,,,,,,,,,
EUTQ_ECOLI,,,,,,,,,,,,,,,"Q9RTG0",,,,,,,,,,,,,,,
EUTR_ECOLI,,,"Q9ZFU7",,,,,,,,,,,,,,,,,,,,,,,,,,,
EUTS_ECOLI,,,"Q9ZFV7",,,,,,,,,,,,,,,,,,,,,,,,,,,
EVGS_ECOLI,"Q9HZG4",,,"Q8CWH4",,,,,,,,,,,,,,,,,,,,,,,,,,
EX1_ECOLI,"Q9HW85",,"Q8ZNR2","Q8D081;Q74V83","Q9KSM2","Q5E4R9",,"P45188",,,,,,,,,,,,,,,,,,,,,,
EX3_ECOLI,"Q9I0T9",,,"Q8ZEJ7;Q8D0G5","Q9KQY7",,,"P44318","Q9ZCP7",,,,,,,,,,,,,,,,,,,,,
EX5A_ECOLI,"Q9HWB7",,"Q8ZMB7","Q7CH01","Q9KPP7","Q5E7B8",,"P45158",,,,,,,,,,,,,,,,,,,,,,
EX5B_ECOLI,"Q9HWB6",,"Q8ZMB6","Q8CZY3;Q0WI24","Q9KPP6","Q5E7B9",,"P45157",,,,,,,,,,,,,,,,,,,,,,
EX5C_ECOLI,"Q9HWB5",,"Q8ZMB4","Q8CZY2","Q9KPP4","Q5E7C0",,"P44945",,,,,,,,,,,,,,,,,,,,,,
EX7L_ECOLI,"Q9HXL8","Q9ZIC1","Q8ZN58","Q8ZCU2","Q9KTW4","Q5E765",,"P43913","Q9ZCP8","O25039",,"P54521","Q81M51","Q97QJ8",,,,,"Q9X289",,"Q5YQ92","Q9FBM3",,,,,,,,
F16P_ECOLI,,,"Q8ZK67",,,,,,,,,,,,,,,,,,,,,,,,,,,
FABD_ECOLI,"O54437",,"O85140","16121866","Q9KQH6","Q5E410",,"P43712",,,"Q93QD4","P71019","Q81WI6",,,,,"O67041",,,,,,,,,,,,
FABG_ECOLI,"O54438",,"P0A2C9","Q8ZFT5;Q7CJ23","Q9KQH7","Q5E411",,"P43713",,,"Q5TKS2","P51831","Q81JG6",,,"P38004","Q9Z8P2","O67610",,,,,,,,,,,,
FABH_ECOLI,"94784",,"O85139","Q8D054","Q9KQH5","Q5E409",,"P43711",,,,,,,,,,,,,,,,,,,,,,
FABI_ECOLI,,,"P16657",,,,,"P44432",,,,,,,,,,,,,,,,,,,,,,
FADA_ECOLI,"Q9HZJ3",,,"Q8ZAM9","Q9KNI0","Q5E8X7",,,,,,,,,,,,,,,,,,,,,,,,
FADB_ECOLI,"Q9HZJ2",,"Q9L6L5","Q8ZAN0","Q9KNI1",,,,,,,,,,,,,,,,,,,,,,,,,
FADE_ECOLI,,,"Q8ZRJ7","Q8ZBY6","Q9KPY1",,,,,,,,,,,,,,,,,,,,,,,,,
FADH_ECOLI,"Q9HZB6",,"Q8ZLX6","Q8CZR4;16120918","Q9KQK5",,,,,,,,,,,,,,,,,"Q9FC18",,,,,,,,
FADJ_ECOLI,,,"Q8ZNA7","Q8ZD45","Q9KT58","Q5E3U1",,,,,,,,,,,,,,,,,,,,,,,,
FADL_ECOLI,,,"Q8ZNA5",,,,,,,,,,,,,,,,,,,,,,,,,,,
FADR_ECOLI,,,"Q8ZP15",,,,,,,,,,,,,,,,,,,,,,,,,,,
FBPC_ECOLI,,,,,"Q9KLQ5",,,"P44531",,,,,,,,,,,,,,,,,,,,,,
FDHD_ECOLI,,,"Q8ZKS7","Q8Z9X7",,,,"P44449",,,,,,,,,,,,,,,,,,,,,,
FDHE_ECOLI,"Q9HV00",,"Q8ZKT0","Q8Z9Y0",,,,"P44452",,,,,,,,,,"O67150",,,,,,,,,,,,
FDHF_ECOLI,,,"Q8ZKE7","Q7CKN1",,,,,,,,,,,,,,,,,,,,,,,,,,
FDNG_ECOLI,,,"Q8ZPE5",,,,,,,,,,,,,,,,,,,,,,,,,,,
FDNH_ECOLI,,,"Q8ZPE6",,,,,,,,,,,,,,,"O67147",,,,,,,,,,,,
FDOG_ECOLI,,,"Q8ZKS8;Q8ZPE5",,,,,,,,,,,,,,,,,,,,,,,,,,,
FDOH_ECOLI,,,"Q8ZKS9","16124173",,,,,,,,,,,,,,,,,,,,,,,,,,
FDRA_ECOLI,,,"Q8ZR75",,,,,,,,,,,,,,,,,,,,,,,,,,,
FEAR_ECOLI,"Q9HWV8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FECA_ECOLI,"Q9HXB2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FECB_ECOLI,,,,,,,,,,,,"O34348",,,,,,,,,,,,,,,,,,
FECD_ECOLI,,,,,,,,,,,,"O34832",,,,,,,,,,,,,,,,,,
FENR_ECOLI,"Q9HVH6",,"Q8ZKP5","16120439;Q74Y75",,"Q5E3X1",,,,,,,,,,,,,,,,,,,,,,,,
FEOA_ECOLI,"Q9HW42",,,"Q7CFX2",,,,,,,,,,,,,,,,,,,,,,,,,,
FEOB_ECOLI,"Q9HW43",,"P74884","Q8CZJ9",,,,,,,,,,,,,,,,,,,,,,,,,,
FEPA_ECOLI,"Q05098",,"Q8ZR40",,,,,,,,,,,,,,,,,,,,,,,,,,,
FEPC_ECOLI,,,,,"Q9KTV8;Q9RCF3",,,,,,,,"Q81LM1",,"Q9RZK6",,,,,,,"Q9S215;Q9L177",,,,,,,,
FEPD_ECOLI,,,"Q7CQZ9",,,,,,,,,,,,,,,,,,,,,,,,,,,
FER_ECOLI,"Q9ZFQ1;Q51383",,,"16123082","Q9KTX7","Q5E779",,"P44428",,,,,,,,,,,,,,,,,,,,,,
FES_ECOLI,,,"Q8ZR39",,,,,,,,,,,,,,,,,,,"Q9RK16",,,,,,,,
FHLA_ECOLI,,,"P40734",,,,,,,,,,,,,,,,,,,,,,,,,,,
FHUA_ECOLI,"Q9I116",,"Q8ZRQ2;O86925",,,,,,,,,,,,,,,,,,,,,,,,,,,
FHUB_ECOLI,,,"O87656","Q74XT8;Q8D1A4",,,,,,,,,,,,,,,,,,,,,,,,,,
FHUC_ECOLI,,,"Q8ZRQ1","16123541",,,,,,,,,,,,,,,,,,,,,,,,,,
FHUD_ECOLI,,,"Q8ZRQ0",,,,,,,,,,,,,,,,,,,,,,,,,,,
FHUE_ECOLI,,,"Q8ZQ10","16121810",,,,,,,,,,,,,,,,,,,,,,,,,,
FHUF_ECOLI,,,"Q8ZJW9",,,,,,,,,,,,,,,,,,,,,,,,,,,
FIC_ECOLI,,,"P20751",,,,,,,,,,,,,,,,,,,,,,,,,,,
FIEF_ECOLI,"Q9HX53",,"Q8ZKR4",,"Q9KNP1","Q5E2B0",,,,,,,,,"Q9RUZ4",,,,,,,,,,,,,,,
